amplitude:           fft:            abs(fft): 
7.93866        -1.04153e+10       1.04153e+10
7.97006        -1.03763e+10       1.03763e+10
7.93482        -1.02599e+10       1.02599e+10
7.9608        -1.00676e+10       1.00676e+10
7.92946        -9.80191e+09       9.80191e+09
7.92382        -9.46649e+09       9.46649e+09
8.00633        -9.06574e+09       9.06574e+09
7.93325        -8.60497e+09       8.60497e+09
7.91141        -8.09024e+09       8.09024e+09
8.00398        -7.52826e+09       7.52826e+09
8.09118        -6.92633e+09       6.92633e+09
7.99242        -6.29216e+09       6.29216e+09
8.05593        -5.6338e+09       5.6338e+09
8.0223        -4.95952e+09       4.95952e+09
8.06803        -4.27762e+09       4.27762e+09
8.03544        -3.59638e+09       3.59638e+09
7.95518        -2.92389e+09       2.92389e+09
8.06752        -2.26795e+09       2.26795e+09
8.04875        -1.63593e+09       1.63593e+09
8.04889        -1.03469e+09       1.03469e+09
8.047        -4.70488e+08       4.70488e+08
7.93031        5.11299e+07       5.11299e+07
8.00342        5.25387e+08       5.25387e+08
7.9338        9.48334e+08       9.48334e+08
8.03995        1.3169e+09       1.3169e+09
7.92832        1.6289e+09       1.6289e+09
7.98531        1.88309e+09       1.88309e+09
7.93065        2.07912e+09       2.07912e+09
7.93827        2.21755e+09       2.21755e+09
7.93111        2.29978e+09       2.29978e+09
7.95592        2.32805e+09       2.32805e+09
8.04438        2.30536e+09       2.30536e+09
8.06694        2.23539e+09       2.23539e+09
7.98524        2.12242e+09       2.12242e+09
8.00991        1.97126e+09       1.97126e+09
8.0694        1.78715e+09       1.78715e+09
8.09659        1.57564e+09       1.57564e+09
7.9392        1.34249e+09       1.34249e+09
8.00018        1.0936e+09       1.0936e+09
8.01452        8.34839e+08       8.34839e+08
8.06861        5.72011e+08       5.72011e+08
8.06843        3.10709e+08       3.10709e+08
7.96281        5.62437e+07       5.62437e+07
7.92805        -1.86445e+08       1.86445e+08
8.02005        -4.12867e+08       4.12867e+08
7.90032        -6.19044e+08       6.19044e+08
7.94212        -8.01567e+08       8.01567e+08
7.92275        -9.57638e+08       9.57638e+08
8.00869        -1.0851e+09       1.0851e+09
8.03924        -1.18245e+09       1.18245e+09
8.01557        -1.24886e+09       1.24886e+09
8.00083        -1.28416e+09       1.28416e+09
7.93799        -1.28881e+09       1.28881e+09
7.99149        -1.26387e+09       1.26387e+09
7.91888        -1.21098e+09       1.21098e+09
8.07892        -1.1323e+09       1.1323e+09
7.98214        -1.03041e+09       1.03041e+09
7.99032        -9.08315e+08       9.08315e+08
8.07096        -7.69321e+08       7.69321e+08
8.01315        -6.16971e+08       6.16971e+08
8.01103        -4.54971e+08       4.54971e+08
